iter	Passed	Remaining
877	17470	2427
878	17490	2407
879	17512	2388
880	17533	2368
881	17554	2348
882	17574	2328
883	17594	2308
884	17615	2288
885	17634	2268
886	17652	2248
887	17672	2228
888	17693	2209
889	17712	2189
890	17732	2169
891	17751	2149
892	17770	2129
893	17788	2109
894	17807	2089
895	17825	2069
896	17843	2048
897	17862	2028
898	17881	2008
899	17901	1989
900	17920	1969
901	17939	1949
902	17958	1929
903	17978	1909
904	17996	1889
905	18017	1869
906	18040	1849
907	18066	1830
908	18084	1810
909	18104	1790
910	18126	1770
911	18145	1750
912	18163	1730
913	18182	1710
914	18200	1690
915	18218	1670
916	18238	1650
917	18258	1630
918	18277	1611
919	18296	1591
920	18314	1570
921	18333	1550
922	18351	1530
923	18368	1510
924	18388	1490
925	18407	1471
926	18425	1450
927	18444	1431
928	18464	1411
929	18486	1391
930	18505	1371
931	18527	1351
932	18545	1331
933	18565	1311
934	18584	1292
935	18606	1272
936	18624	1252
937	18644	1232
938	18664	1212
939	18683	1192
940	18702	1172
941	18721	1152
942	18741	1132
943	18759	1112
944	18778	1092
945	18797	1073
946	18817	1053
947	18837	1033
948	18859	1013
949	18879	993
950	18898	973
951	18917	953
952	18936	933
953	18954	913
954	18973	894
955	18993	874
956	19012	854
957	19035	834
958	19057	814
959	19077	794
960	19097	775
961	19117	755
962	19135	735
963	19154	715
964	19172	695
965	19192	675
966	19210	655
967	19230	635
968	19250	615
969	19271	596
970	19291	576
971	19310	556
972	19329	536
973	19348	516
974	19367	496
975	19385	476
976	19404	456
977	19423	436
978	19443	417
979	19462	397
980	19482	377
981	19502	357
982	19522	337
983	19541	317
984	19559	297
985	19578	277
986	19596	258
987	19615	238
988	19636	218
989	19656	198
990	19675	178
991	19694	158
992	19713	138
993	19732	119
994	19750	99
995	19768	79
996	19786	59
997	19805	39
998	19824	19
999	19843	0
